
Product_name,brand,Active_ingredients,Country_Of_Origin
"Face Moisturizer","Ponds","Kojic Acid, Alpha Arbutin, Niacinamide","India"
"Face Moisturizer","L'Oreal Paris","Vitamin B5","Indonesia"
"Face Moisturizer","The Derma co.","Niacinamide, Kojic Acid, Arbutin","India"
"Face Moisturizer","The Face shop","Rice Bran, Ceramide","South Korea"
"Face Serum","Minimalist","Vitamin C","India"
"Sunscreen","The Derma co.","Niacinamide","India"
"Face serum","The Derma co.","Niacinamide,kojic acid","India"
"Face serum","Minimalist","Vitamin B5","India"
"Face Moisturizer","L'Oreal Paris","Retinol","Indonesia"
"Hand cream","Ponds","Vitamin c","India"
"Sunscreen","Minimalist","Vitamin c","India"
"Face Moisturizer","The Derma co.","Rice Bran, Ceramide","India"
"Day cream","Ponds","Rice Bran, Ceramide","India"
"Sunscreen","Minimalist","Vitamin B5","India"
"Hair serum","The Derma co.","Vitamin C, Arbutin","India"
"Hand cream","Ponds","Vitamin B2,Vitamin E","India"
"Hair serum","Minimalist","Vitamin C","India"
"Face Moisturizer","The Derma co.","Niacinamide, Kojic Acid, Arbutin","India"
"Face Moisturizer","Ponds","Rice Bran, Vitamin C","India"
"Face Moisturizer","Minimalist","Vitamin B5,Vitamin C","India"
"Face Moisturizer","The Derma co.","Niacinamide, Kojic Acid, Arbutin","India"
"Hair serum","Ponds","Vitamin C","India"
"Sunscreen","Minimalist","Niacinamide","India"
"Face Moisturizer","The Derma co.","Niacinamide, Kojic Acid, Arbutin","India"
"Face Moisturizer","Ponds","Rice extracts, Vitamin E","India"
"Face Moisturizer","Minimalist","Alpha Arbutin, Kojic acid","India"
"Face Moisturizer","The Derma co.","Niacinamide, Kojic Acid, Arbutin","India"
"Day cream","Ponds","Vitamin C","India"
"Day cream","Minimalist","Alpha Arbutin, Kojic acid","India"
"Face Moisturizer","The Derma co.","Niacinamide, Kojic Acid, Arbutin","India"
"Sunscreen","Ponds","Rice Bran, Ceramide","India"
"Face Moisturizer","Minimalist","Vitamin B5,Kojic acid","India"
"Face Moisturizer","The Derma co.","Niacinamide, Kojic Acid, Arbutin","India"
"Day cream","Ponds","Vitamin C","India"
"Face Moisturizer","Minimalist","Niacinamide","India"
"Face Moisturizer","The Derma co.","Niacinamide, Kojic Acid, Arbutin","India"
"Night Cream","Ponds","Retinol","India"
"Face serum","Minimalist","Alpha Arbutin, Kojic acid","India"
"Face Moisturizer","The Derma co.","Niacinamide, Kojic Acid, Arbutin","India"
"Face serum","Ponds","Rice Bran, Ceramide","India"
"Night Cream","Minimalist","Retinol","India"
"Face Moisturizer","The Derma co.","Niacinamide, Kojic Acid, Arbutin","India"
"Night Cream","Ponds","Alpha Arbutin, Niacinamide","India"
"Hand cream","Minimalist","Vitamin B5, Vitamin E","India"
"Face Moisturizer","The Derma co.","Niacinamide, Kojic Acid, Arbutin","India"
"Hand cream","Ponds","Rice Bran, Ceramide","India"
"Face Moisturizer","Dot & Key","Vitamin B5","India"
"Face Moisturizer","The Derma co.","Niacinamide, Kojic Acid, Arbutin","India"
"Hair serum","Ponds","Vitamin E,Vitamin B2","India"
"Face Moisturizer","Ponds","Vitamin B5","India"
"Face Moisturizer","The Derma co.","Niacinamide, Kojic Acid, Arbutin","India"
"Sunscreen","Ponds","Ceramide","India"
"Day cream","Minimalist","Niacinamide","India"
"Face Moisturizer","The Derma co.","Niacinamide, Kojic Acid, Arbutin","India"
"Day cream","Ponds","Alpha Arbutin","India"
"Day cream","Minimalist","Niacinamide,kojic acid","India"
"Face Moisturizer","The Derma co.","Niacinamide, Kojic Acid, Arbutin","India"
"Face Moisturizer","Ponds","Vitamin C, Arbutin","India"
"Sunscreen","Minimalist","Kojic acid,Arbutin,Alpha Arbutin","India"
"Face Moisturizer","The Derma co.","Niacinamide, Kojic Acid, Arbutin","India"
"Hair serum","Ponds","Alpha Arbutin, Niacinamide","India"
"Day cream","Minimalist","Kojic acid,Arbutin,Alpha Arbutin","India"
"Face Moisturizer","The Derma co.","Niacinamide, Kojic Acid, Arbutin","India"
"Hand cream","Ponds","Vitamin E,Ceramide","India"
"Face Moisturizer","Minimalist","Niacinamide,Vitamin B5","India"
"Face Moisturizer","The Derma co.","Niacinamide, Kojic Acid, Arbutin","India"
"Face serum","Ponds","Vitamin C","India"
"Sunscreen","Minimalist","Vitamin B2,Vitamin E","India"
"Face Moisturizer","The Derma co.","Niacinamide, Kojic Acid, Arbutin","India"
"Face serum","Ponds","Vitamin E,Ceramide","India"
"Face serum","Minimalist","Niacinamide,Rice extracts","India"
"Face Moisturizer","The Derma co.","Niacinamide, Kojic Acid, Arbutin","India"
"Face Moisturizer","Ponds","Alpha Arbutin, Kojic acid","India"
"Face serum","Minimalist","Vitamin B2,Vitamin E","India"
"Face Moisturizer","The Derma co.","Niacinamide, Kojic Acid, Arbutin","India"
"Hand cream","Ponds","Vitamin C,Kojic acid","India"
"Hair serum","Minimalist","Niacinamide,Arbutin","India"
"Face Moisturizer","The Derma co.","Niacinamide, Kojic Acid, Arbutin","India"
"Day cream","Ponds","Rice extracts,Vitamin C","India"
"Sunscreen","The Derma co.","Vitamin B5","India"
"Face Moisturizer","The Derma co.","Niacinamide, Kojic Acid, Arbutin","India"
"Sunscreen","Ponds","Alpha Arbutin, Niacinamide","India"
"Face Moisturizer","The Derma co.","Vitamin B5","India"
"Face Moisturizer","The Derma co.","Niacinamide, Kojic Acid, Arbutin","India"
"Face Moisturizer","Ponds","Vitamin C,Kojic acid","India"
